batch_idx,sample_idx,gt_class,gt_name,pred_class,pred_name,confidence,top3
26,215,114,gloss_114,113,gloss_113,0.9692023396492004,"[('gloss_113', 0.9692023396492004), ('gloss_109', 0.0009514478733763099), ('gloss_149', 0.0008453556802123785)]"
74,592,0,gloss_0,132,gloss_132,0.962180495262146,"[('gloss_132', 0.962180495262146), ('gloss_0', 0.002632396062836051), ('gloss_165', 0.0009153806604444981)]"
66,528,41,gloss_41,150,gloss_150,0.9573304653167725,"[('gloss_150', 0.9573304653167725), ('gloss_41', 0.0033379446249455214), ('gloss_179', 0.0009649418061599135)]"
24,193,96,gloss_96,97,gloss_97,0.9543047547340393,"[('gloss_97', 0.9543047547340393), ('gloss_53', 0.006756206508725882), ('gloss_96', 0.0014945493312552571)]"
16,133,41,gloss_41,150,gloss_150,0.9521202445030212,"[('gloss_150', 0.9521202445030212), ('gloss_46', 0.0011716489680111408), ('gloss_104', 0.0008671352406963706)]"
79,632,134,gloss_134,146,gloss_146,0.9493620991706848,"[('gloss_146', 0.9493620991706848), ('gloss_134', 0.005746070295572281), ('gloss_78', 0.0004921269719488919)]"
29,236,134,gloss_134,146,gloss_146,0.9412491321563721,"[('gloss_146', 0.9412491321563721), ('gloss_124', 0.0018031643703579903), ('gloss_30', 0.0011614630930125713)]"
89,715,30,gloss_30,86,gloss_86,0.9290194511413574,"[('gloss_86', 0.9290194511413574), ('gloss_30', 0.002692744368687272), ('gloss_103', 0.0018754728371277452)]"
47,376,82,gloss_82,87,gloss_87,0.9285159707069397,"[('gloss_87', 0.9285159707069397), ('gloss_38', 0.006462099961936474), ('gloss_123', 0.00181045092176646)]"
40,325,36,gloss_36,179,gloss_179,0.9207003712654114,"[('gloss_179', 0.9207003712654114), ('gloss_36', 0.021590154618024826), ('gloss_0', 0.0013447110541164875)]"
46,373,8,gloss_8,103,gloss_103,0.9165691137313843,"[('gloss_103', 0.9165691137313843), ('gloss_8', 0.007779324892908335), ('gloss_71', 0.00467689847573638)]"
36,289,182,gloss_182,47,gloss_47,0.9134615659713745,"[('gloss_47', 0.9134615659713745), ('gloss_182', 0.006303863599896431), ('gloss_105', 0.002722865203395486)]"
48,385,90,gloss_90,107,gloss_107,0.9020524621009827,"[('gloss_107', 0.9020524621009827), ('gloss_123', 0.014643863774836063), ('gloss_83', 0.00282102613709867)]"
41,329,4,gloss_4,27,gloss_27,0.8741834759712219,"[('gloss_27', 0.8741834759712219), ('gloss_4', 0.008664198219776154), ('gloss_45', 0.005043093580752611)]"
32,261,157,gloss_157,140,gloss_140,0.8604188561439514,"[('gloss_140', 0.8604188561439514), ('gloss_110', 0.011446747928857803), ('gloss_157', 0.0034791389480233192)]"
12,98,188,gloss_188,138,gloss_138,0.8158852458000183,"[('gloss_138', 0.8158852458000183), ('gloss_188', 0.09081681072711945), ('gloss_43', 0.0012031220830976963)]"
11,88,179,gloss_179,36,gloss_36,0.7734823822975159,"[('gloss_36', 0.7734823822975159), ('gloss_179', 0.09683820605278015), ('gloss_135', 0.0020827963016927242)]"
27,218,117,gloss_117,174,gloss_174,0.7550217509269714,"[('gloss_174', 0.7550217509269714), ('gloss_117', 0.15750417113304138), ('gloss_25', 0.0015811525518074632)]"
16,129,37,gloss_37,178,gloss_178,0.7424188852310181,"[('gloss_178', 0.7424188852310181), ('gloss_37', 0.06688527762889862), ('gloss_140', 0.00505964457988739)]"
44,352,60,gloss_60,120,gloss_120,0.7147248387336731,"[('gloss_120', 0.7147248387336731), ('gloss_60', 0.15945036709308624), ('gloss_13', 0.004937066230922937)]"
95,766,77,gloss_77,86,gloss_86,0.6960107088088989,"[('gloss_86', 0.6960107088088989), ('gloss_77', 0.07512035220861435), ('gloss_120', 0.009338373318314552)]"
78,626,129,gloss_129,173,gloss_173,0.6910566687583923,"[('gloss_173', 0.6910566687583923), ('gloss_129', 0.10697320848703384), ('gloss_171', 0.0053367167711257935)]"
81,649,15,gloss_15,79,gloss_79,0.6882429122924805,"[('gloss_79', 0.6882429122924805), ('gloss_15', 0.14641731977462769), ('gloss_102', 0.010751006193459034)]"
81,652,152,gloss_152,191,gloss_191,0.6862882375717163,"[('gloss_191', 0.6862882375717163), ('gloss_152', 0.09508248418569565), ('gloss_60', 0.005145708564668894)]"
52,419,12,gloss_12,14,gloss_14,0.6706910133361816,"[('gloss_14', 0.6706910133361816), ('gloss_12', 0.12238454818725586), ('gloss_45', 0.00855858251452446)]"
18,146,53,gloss_53,17,gloss_17,0.6626497507095337,"[('gloss_17', 0.6626497507095337), ('gloss_53', 0.2245333194732666), ('gloss_92', 0.0014968629693612456)]"
18,149,56,gloss_56,183,gloss_183,0.6581528782844543,"[('gloss_183', 0.6581528782844543), ('gloss_144', 0.06431747227907181), ('gloss_149', 0.020018447190523148)]"
90,720,35,gloss_35,138,gloss_138,0.6528558135032654,"[('gloss_138', 0.6528558135032654), ('gloss_35', 0.13899584114551544), ('gloss_188', 0.006871746852993965)]"
36,291,184,gloss_184,137,gloss_137,0.6079393029212952,"[('gloss_137', 0.6079393029212952), ('gloss_184', 0.1914336383342743), ('gloss_198', 0.014398708008229733)]"
96,772,82,gloss_82,123,gloss_123,0.6009269952774048,"[('gloss_123', 0.6009269952774048), ('gloss_38', 0.07414267957210541), ('gloss_113', 0.037366852164268494)]"
2,17,114,gloss_114,113,gloss_113,0.5926676988601685,"[('gloss_113', 0.5926676988601685), ('gloss_114', 0.27896949648857117), ('gloss_149', 0.0024578901939094067)]"
36,295,188,gloss_188,129,gloss_129,0.5912030935287476,"[('gloss_129', 0.5912030935287476), ('gloss_38', 0.0316476933658123), ('gloss_172', 0.02724488265812397)]"
33,271,166,gloss_166,161,gloss_161,0.5812947750091553,"[('gloss_161', 0.5812947750091553), ('gloss_60', 0.03540736809372902), ('gloss_83', 0.023722626268863678)]"
65,523,36,gloss_36,179,gloss_179,0.5312763452529907,"[('gloss_179', 0.5312763452529907), ('gloss_36', 0.2642221450805664), ('gloss_0', 0.014575891196727753)]"
41,328,39,gloss_39,124,gloss_124,0.5049842000007629,"[('gloss_124', 0.5049842000007629), ('gloss_39', 0.2714160084724426), ('gloss_144', 0.009359153918921947)]"
10,80,171,gloss_171,116,gloss_116,0.5018100738525391,"[('gloss_116', 0.5018100738525391), ('gloss_142', 0.17862556874752045), ('gloss_112', 0.019194763153791428)]"
85,682,18,gloss_18,196,gloss_196,0.4991500675678253,"[('gloss_196', 0.4991500675678253), ('gloss_50', 0.08044806122779846), ('gloss_14', 0.033690452575683594)]"
8,65,158,gloss_158,173,gloss_173,0.4746764898300171,"[('gloss_173', 0.4746764898300171), ('gloss_158', 0.20399397611618042), ('gloss_182', 0.029050510376691818)]"
89,717,32,gloss_32,122,gloss_122,0.47413668036460876,"[('gloss_122', 0.47413668036460876), ('gloss_32', 0.27814146876335144), ('gloss_127', 0.013235645368695259)]"
1,9,107,gloss_107,90,gloss_90,0.47118106484413147,"[('gloss_90', 0.47118106484413147), ('gloss_107', 0.26949477195739746), ('gloss_123', 0.02635643258690834)]"
9,76,168,gloss_168,153,gloss_153,0.4696293771266937,"[('gloss_153', 0.4696293771266937), ('gloss_168', 0.2714133858680725), ('gloss_34', 0.027967212721705437)]"
48,391,96,gloss_96,97,gloss_97,0.46021533012390137,"[('gloss_97', 0.46021533012390137), ('gloss_96', 0.31526193022727966), ('gloss_121', 0.010822158306837082)]"
29,234,132,gloss_132,163,gloss_163,0.44543328881263733,"[('gloss_163', 0.44543328881263733), ('gloss_0', 0.12368986755609512), ('gloss_143', 0.04123854264616966)]"
56,450,148,gloss_148,103,gloss_103,0.44231125712394714,"[('gloss_103', 0.44231125712394714), ('gloss_148', 0.13429945707321167), ('gloss_98', 0.08962087333202362)]"
92,743,56,gloss_56,183,gloss_183,0.43961718678474426,"[('gloss_183', 0.43961718678474426), ('gloss_56', 0.2325030267238617), ('gloss_171', 0.04703283682465553)]"
27,216,115,gloss_115,118,gloss_118,0.4217653274536133,"[('gloss_118', 0.4217653274536133), ('gloss_115', 0.2291276454925537), ('gloss_149', 0.014600958675146103)]"
61,488,183,gloss_183,25,gloss_25,0.4095044732093811,"[('gloss_25', 0.4095044732093811), ('gloss_46', 0.12743087112903595), ('gloss_183', 0.09807966649532318)]"
44,359,67,gloss_67,183,gloss_183,0.4080182909965515,"[('gloss_183', 0.4080182909965515), ('gloss_25', 0.04399186372756958), ('gloss_39', 0.04034170135855675)]"
43,344,53,gloss_53,17,gloss_17,0.37057074904441833,"[('gloss_17', 0.37057074904441833), ('gloss_196', 0.08541276305913925), ('gloss_53', 0.05936555191874504)]"
83,665,164,gloss_164,190,gloss_190,0.3580751121044159,"[('gloss_190', 0.3580751121044159), ('gloss_30', 0.21762879192829132), ('gloss_164', 0.03544684499502182)]"
13,111,20,gloss_20,185,gloss_185,0.35803380608558655,"[('gloss_185', 0.35803380608558655), ('gloss_5', 0.23183228075504303), ('gloss_69', 0.11174502223730087)]"
86,690,187,gloss_187,97,gloss_97,0.3570927679538727,"[('gloss_97', 0.3570927679538727), ('gloss_187', 0.08838046342134476), ('gloss_121', 0.049597255885601044)]"
85,681,179,gloss_179,36,gloss_36,0.3435910642147064,"[('gloss_36', 0.3435910642147064), ('gloss_16', 0.19759860634803772), ('gloss_41', 0.1137026995420456)]"
78,624,127,gloss_127,2,gloss_2,0.34189915657043457,"[('gloss_2', 0.34189915657043457), ('gloss_54', 0.10526882112026215), ('gloss_141', 0.0559772327542305)]"
40,320,31,gloss_31,45,gloss_45,0.33967506885528564,"[('gloss_45', 0.33967506885528564), ('gloss_126', 0.10591871291399002), ('gloss_31', 0.08670280128717422)]"
